Latitude,Longitude,Borough,Ward ID,Borough ID,Ward,Point Order,Sub Polygon Id
51.615,-0.1429,Barnet,E05000047,E09000003,Coppetts,8,1
51.6097,-0.1372,Barnet,E05000047,E09000003,Coppetts,9,1
51.6083,-0.1418,Barnet,E05000047,E09000003,Coppetts,10,1
51.6027,-0.1406,Barnet,E05000047,E09000003,Coppetts,11,1
51.5987,-0.1454,Barnet,E05000047,E09000003,Coppetts,12,1
51.5969,-0.1498,Barnet,E05000047,E09000003,Coppetts,13,1
51.6022,-0.1517,Barnet,E05000047,E09000003,Coppetts,14,1
51.6049,-0.1548,Barnet,E05000047,E09000003,Coppetts,15,1
51.6052,-0.1555,Barnet,E05000047,E09000003,Coppetts,16,1
51.6388,-0.1407,Barnet,E05000048,E09000003,East Barnet,1,1
51.6361,-0.1479,Barnet,E05000048,E09000003,East Barnet,2,1
51.6337,-0.1514,Barnet,E05000048,E09000003,East Barnet,3,1
51.6364,-0.1561,Barnet,E05000048,E09000003,East Barnet,4,1
51.6331,-0.1606,Barnet,E05000048,E09000003,East Barnet,5,1
51.6412,-0.1677,Barnet,E05000048,E09000003,East Barnet,6,1
51.6496,-0.172,Barnet,E05000048,E09000003,East Barnet,7,1
51.6601,-0.1739,Barnet,E05000048,E09000003,East Barnet,8,1
51.655,-0.1532,Barnet,E05000048,E09000003,East Barnet,9,1
51.6494,-0.1507,Barnet,E05000048,E09000003,East Barnet,10,1
51.6483,-0.1483,Barnet,E05000048,E09000003,East Barnet,11,1
51.6453,-0.1506,Barnet,E05000048,E09000003,East Barnet,12,1
51.6448,-0.1476,Barnet,E05000048,E09000003,East Barnet,13,1
51.6416,-0.1463,Barnet,E05000048,E09000003,East Barnet,14,1
51.6422,-0.1435,Barnet,E05000048,E09000003,East Barnet,15,1
51.6388,-0.1407,Barnet,E05000048,E09000003,East Barnet,16,1
51.5956,-0.1797,Barnet,E05000049,E09000003,East Finchley,1,1
51.5987,-0.1753,Barnet,E05000049,E09000003,East Finchley,2,1
51.6027,-0.1676,Barnet,E05000049,E09000003,East Finchley,3,1
51.6052,-0.1598,Barnet,E05000049,E09000003,East Finchley,4,1
51.6052,-0.1555,Barnet,E05000049,E09000003,East Finchley,5,1
51.6049,-0.1548,Barnet,E05000049,E09000003,East Finchley,6,1
51.5972,-0.1601,Barnet,E05000049,E09000003,East Finchley,7,1
51.5911,-0.1579,Barnet,E05000049,E09000003,East Finchley,8,1
51.5848,-0.1597,Barnet,E05000049,E09000003,East Finchley,9,1
51.5889,-0.1664,Barnet,E05000049,E09000003,East Finchley,10,1
51.5864,-0.1677,Barnet,E05000049,E09000003,East Finchley,11,1
